product,slope,r_squared
HYDROGEL_PACK,6.923183578803532e-06,0.029988258302682036
VELVETFRUIT_EXTRACT,-4.12914241903238e-06,0.03913249478390094
VEV_4000,-4.134998863483333e-06,0.03913895985199034
VEV_4500,-4.134799474594221e-06,0.03917367776134366
VEV_5000,-5.362060093735622e-06,0.0707739163257515
VEV_5100,-6.977449443308277e-06,0.1403918125894485
VEV_5200,-8.347625543719584e-06,0.29338418979001696
VEV_5300,-7.108431405676032e-06,0.45336057009919994
VEV_5400,-3.5945850939939846e-06,0.5628830745936413
VEV_5500,-2.14699873905222e-06,0.7109220155541872
VEV_6000,0.0,
VEV_6500,0.0,
