spot_at_day10,expected_payoff,n_paths
3.400986924945690326e+00,4.709640238896463416e+01,1.000000000000000000e+00
3.983579549621911298e+00,4.359853920815714901e+01,1.000000000000000000e+00
3.983579549621911742e+00,4.659901307505430879e+01,2.000000000000000000e+00
4.665970901496281797e+00,4.659901307505430879e+01,1.000000000000000000e+00
4.665970901496282686e+00,4.660554476975888605e+01,3.000000000000000000e+00
4.665970901496283574e+00,4.451815102610017050e+01,7.000000000000000000e+00
5.465256607132743305e+00,4.500581599885859418e+01,6.000000000000000000e+00
5.465256607132744193e+00,4.421185908880709547e+01,1.600000000000000000e+01
5.465256607132745081e+00,4.470990279589031502e+01,3.200000000000000000e+01
5.465256607132745970e+00,4.439694270782228358e+01,2.500000000000000000e+01
6.401460791842851883e+00,4.250196226540951017e+01,1.000000000000000000e+00
6.401460791842853659e+00,4.357795751134360529e+01,6.000000000000000000e+00
6.401460791842854547e+00,4.375120247419560116e+01,1.900000000000000000e+01
6.401460791842855436e+00,4.374635239596053538e+01,9.200000000000000000e+01
6.401460791842856324e+00,4.323232582079558739e+01,1.560000000000000000e+02
6.401460791842857212e+00,4.392965545964293739e+01,6.100000000000000000e+01
7.498037734590496939e+00,4.258708522500685945e+01,4.000000000000000000e+00
7.498037734590497827e+00,4.241575045391821419e+01,3.670000000000000000e+02
7.498037734590498715e+00,4.254787827154559920e+01,7.650000000000000000e+02
7.498037734590499603e+00,4.178128446483711400e+01,6.000000000000000000e+01
7.498037734590500492e+00,4.246295957548016986e+01,2.560000000000000000e+02
8.782459456907522721e+00,4.122811444418584870e+01,1.467000000000000000e+03
8.782459456907524498e+00,4.124291539513749427e+01,2.319000000000000000e+03
8.782459456907526274e+00,4.154069410826798503e+01,7.390000000000000000e+02
1.028690396640647009e+01,3.974449231710039498e+01,5.395000000000000000e+03
1.028690396640647187e+01,3.970872928746808839e+01,4.864000000000000000e+03
1.028690396640647364e+01,3.964093831613045182e+01,1.230000000000000000e+03
1.028690396640647542e+01,3.964880230709290743e+01,1.514000000000000000e+03
1.204906139712833557e+01,3.588692175742319534e+01,1.000000000000000000e+00
1.204906139712833912e+01,4.121754054309248971e+01,1.000000000000000000e+00
1.204906139712834268e+01,3.791632369931275548e+01,1.677200000000000000e+04
1.204906139712834445e+01,3.792782376134832845e+01,9.963000000000000000e+03
1.204906139712834623e+01,3.780664354668348892e+01,1.893000000000000000e+03
1.204906139712834801e+01,3.800376025523589618e+01,4.686000000000000000e+03
1.411307824257682064e+01,3.588692175742319534e+01,2.000000000000000000e+00
1.411307824257682242e+01,3.775657225774281756e+01,9.000000000000000000e+00
1.411307824257682597e+01,3.592246218728224960e+01,4.485400000000000000e+04
1.411307824257682775e+01,3.585990689142911947e+01,1.887500000000000000e+04
1.411307824257682952e+01,3.594144926522731964e+01,3.007000000000000000e+03
1.411307824257683130e+01,3.582155966656678459e+01,7.298000000000000000e+03
1.653066333686088285e+01,3.517535637101364898e+01,2.000000000000000000e+00
1.653066333686088640e+01,3.337191606645366448e+01,2.100000000000000000e+01
1.653066333686088996e+01,3.276529970611350961e+01,8.400000000000000000e+01
1.653066333686089351e+01,3.347279272029212649e+01,1.040960000000000000e+05
1.653066333686089706e+01,3.345230160223040627e+01,2.722200000000000000e+04
1.653066333686090061e+01,3.347593890007227913e+01,1.598000000000000000e+04
1.936238329156624616e+01,2.343585288158419644e+01,1.000000000000000000e+00
1.936238329156624971e+01,3.458650480656412896e+01,5.000000000000000000e+00
1.936238329156625326e+01,3.032669223318200835e+01,2.000000000000000000e+01
1.936238329156625682e+01,3.173331258799009902e+01,1.010000000000000000e+02
1.936238329156626037e+01,3.088111153658283214e+01,5.260000000000000000e+02
1.936238329156626392e+01,3.063194678481900013e+01,1.233700000000000000e+05
1.936238329156626747e+01,3.059637350493369112e+01,4.772800000000000000e+04
1.936238329156627103e+01,3.060666245045078071e+01,5.038300000000000000e+04
1.936238329156627458e+01,3.061228878100518713e+01,4.065100000000000000e+04
2.267917984232061457e+01,7.312426141101227017e+00,1.000000000000000000e+00
2.267917984232061812e+01,2.766411333699802810e+01,3.000000000000000000e+00
2.267917984232062167e+01,2.624306721568514078e+01,1.600000000000000000e+01
2.267917984232062523e+01,2.626358393540403569e+01,6.400000000000000000e+01
2.267917984232062878e+01,2.799422935923837130e+01,1.570000000000000000e+02
2.267917984232063233e+01,2.764234872465369364e+01,5.340000000000000000e+02
2.267917984232063588e+01,2.718419964026042734e+01,2.293000000000000000e+03
2.267917984232063944e+01,2.737474942117062326e+01,4.947100000000000000e+04
2.267917984232064299e+01,2.730694022459848824e+01,6.713700000000000000e+04
2.267917984232064654e+01,2.743898370630520844e+01,5.382500000000000000e+04
2.267917984232065010e+01,2.732360412551558682e+01,6.326600000000000000e+04
2.267917984232065365e+01,2.735172004695986914e+01,8.324400000000000000e+04
2.267917984232065720e+01,2.739643430947629099e+01,1.011900000000000000e+05
2.656414711841580711e+01,1.888538663942119555e+01,1.000000000000000000e+00
2.656414711841581067e+01,2.232569224646158546e+01,6.000000000000000000e+00
2.656414711841581422e+01,2.154456507565895507e+01,2.400000000000000000e+01
2.656414711841581777e+01,2.401790485827142518e+01,1.510000000000000000e+02
2.656414711841582132e+01,2.423401288268279075e+01,2.930000000000000000e+02
2.656414711841582488e+01,2.349555952150828375e+01,4.990000000000000000e+02
2.656414711841582843e+01,2.363594919937469641e+01,3.023000000000000000e+03
2.656414711841583198e+01,2.367546064857061694e+01,8.548000000000000000e+03
2.656414711841583554e+01,2.359925723350533744e+01,3.004100000000000000e+04
2.656414711841583909e+01,2.356723989835668220e+01,6.532900000000000000e+04
2.656414711841584264e+01,2.357076633157669576e+01,5.594900000000000000e+04
2.656414711841584619e+01,2.358438797404287968e+01,6.455500000000000000e+04
2.656414711841584975e+01,2.355544505063414107e+01,1.292740000000000000e+05
2.656414711841585330e+01,2.362772862222368531e+01,1.406810000000000000e+05
2.656414711841585685e+01,2.356909489541161307e+01,7.821100000000000000e+04
2.656414711841586040e+01,2.358491987482743468e+01,3.091700000000000000e+04
3.111461336057881155e+01,1.337965823455045822e+01,4.000000000000000000e+00
3.111461336057881510e+01,1.882305462623487102e+01,1.300000000000000000e+01
3.111461336057881866e+01,2.091978666008522225e+01,6.000000000000000000e+00
3.111461336057882221e+01,2.036197440608751208e+01,7.300000000000000000e+01
3.111461336057882932e+01,1.904117991440717006e+01,2.740000000000000000e+02
3.111461336057883287e+01,1.997777132130935840e+01,4.500000000000000000e+01
3.111461336057883642e+01,1.896251624124375823e+01,7.060000000000000000e+02
3.111461336057883997e+01,1.963086331168047849e+01,4.770000000000000000e+02
3.111461336057884353e+01,1.952094589480876508e+01,6.648000000000000000e+03
3.111461336057884708e+01,1.937832081470773460e+01,6.464000000000000000e+03
3.111461336057885063e+01,1.938261532648871110e+01,3.658600000000000000e+04
3.111461336057885418e+01,1.936139571734898368e+01,3.565800000000000000e+04
3.111461336057885774e+01,1.940040894382024561e+01,1.042720000000000000e+05
3.111461336057886129e+01,1.941211306884159171e+01,7.261700000000000000e+04
3.111461336057886484e+01,1.943864447882934599e+01,7.206500000000000000e+04
3.111461336057886840e+01,1.940266765784076952e+01,1.644530000000000000e+05
3.111461336057887195e+01,1.951005607066463554e+01,6.409100000000000000e+04
3.111461336057887550e+01,1.939164904908965426e+01,1.626470000000000000e+05
3.111461336057887905e+01,1.924753066070908147e+01,1.198800000000000000e+04
3.111461336057888261e+01,1.938296185341273770e+01,5.576600000000000000e+04
3.644457923917885722e+01,1.355542076082114988e+01,1.000000000000000000e+00
3.644457923917886433e+01,1.523088100190641470e+01,2.300000000000000000e+01
3.644457923917887143e+01,1.567941231058947871e+01,1.120000000000000000e+02
3.644457923917887854e+01,1.555776945756012530e+01,4.910000000000000000e+02
3.644457923917888564e+01,1.528570849080176686e+01,1.415000000000000000e+03
3.644457923917889275e+01,1.509161987157714435e+01,2.468000000000000000e+03
3.644457923917889985e+01,1.499580693385866503e+01,1.147400000000000000e+04
3.644457923917890696e+01,1.505410755696531666e+01,3.815700000000000000e+04
3.644457923917891407e+01,1.499196975021470379e+01,1.419270000000000000e+05
3.644457923917892117e+01,1.498431484701925775e+01,8.467300000000000000e+04
3.644457923917892828e+01,1.497864791140462870e+01,1.947030000000000000e+05
3.644457923917893538e+01,1.501166175641272105e+01,3.910570000000000000e+05
3.644457923917894249e+01,1.497828369474401633e+01,7.093900000000000000e+04
4.268757385889878009e+01,1.314504061156185344e-13,2.000000000000000000e+00
4.268757385889878719e+01,1.405933323764497622e+01,2.200000000000000000e+01
4.268757385889879430e+01,1.132198017719926675e+01,1.940000000000000000e+02
4.268757385889880140e+01,1.054595156345059337e+01,5.170000000000000000e+02
4.268757385889880851e+01,1.023705958743117606e+01,1.227000000000000000e+03
4.268757385889881562e+01,1.075283087311820296e+01,3.908000000000000000e+03
4.268757385889882272e+01,1.066886802971540860e+01,1.072100000000000000e+04
4.268757385889882983e+01,1.069322200465991379e+01,2.633700000000000000e+04
4.268757385889883693e+01,1.075813705100150131e+01,4.168500000000000000e+04
4.268757385889884404e+01,1.069441911348066832e+01,1.651410000000000000e+05
4.268757385889885114e+01,1.067873286647005848e+01,9.995800000000000000e+04
4.268757385889885825e+01,1.071153572031138168e+01,1.581280000000000000e+05
4.268757385889886535e+01,1.071583171819474600e+01,4.506710000000000000e+05
4.268757385889887246e+01,1.074482805656090711e+01,4.390600000000000000e+04
4.999999999999987210e+01,0.000000000000000000e+00,1.000000000000000000e+00
4.999999999999987921e+01,2.608480862740364614e+00,8.000000000000000000e+00
4.999999999999988631e+01,5.547239602073532616e+00,3.400000000000000000e+01
4.999999999999989342e+01,6.237020301497800290e+00,1.660000000000000000e+02
4.999999999999990052e+01,6.694565950647043628e+00,4.960000000000000000e+02
4.999999999999990763e+01,6.972454621784813789e+00,9.930000000000000000e+02
4.999999999999991473e+01,6.892114762367014258e+00,2.981000000000000000e+03
4.999999999999992184e+01,7.047074009918128823e+00,6.233000000000000000e+03
4.999999999999992895e+01,6.788075765765183789e+00,9.525000000000000000e+03
4.999999999999993605e+01,6.822730893732442681e+00,2.325000000000000000e+04
4.999999999999994316e+01,6.904792312815506428e+00,1.290430000000000000e+05
4.999999999999995026e+01,6.938961297658498673e+00,2.171380000000000000e+05
4.999999999999995737e+01,6.929919238772723311e+00,1.102650000000000000e+05
4.999999999999996447e+01,6.965794663500865624e+00,1.239370000000000000e+05
4.999999999999997158e+01,6.915644481461636239e+00,2.674990000000000000e+05
4.999999999999997868e+01,6.981505100998224300e+00,4.143000000000000000e+04
4.999999999999998579e+01,6.999594241999140820e+00,3.032700000000000000e+04
4.999999999999999289e+01,6.953999364490638158e+00,9.499000000000000000e+03
5.856505240292145942e+01,1.639663202431066225e+01,1.000000000000000000e+01
5.856505240292146652e+01,1.329388805854985200e+01,7.000000000000000000e+00
5.856505240292147363e+01,1.261670329429304438e+01,4.800000000000000000e+01
5.856505240292148073e+01,1.231971947192011996e+01,1.220000000000000000e+02
5.856505240292148784e+01,1.280157702349729121e+01,1.200000000000000000e+02
5.856505240292149495e+01,1.233611685938972435e+01,3.860000000000000000e+02
5.856505240292150916e+01,1.333028485564858556e+01,1.095000000000000000e+03
5.856505240292151626e+01,1.248339581119009267e+01,1.408000000000000000e+03
5.856505240292152337e+01,1.250642820208507366e+01,5.448000000000000000e+03
5.856505240292153758e+01,1.255591480084891742e+01,8.312600000000000000e+04
5.856505240292154468e+01,1.258220600572933634e+01,2.281620000000000000e+05
5.856505240292155179e+01,1.249296078741101468e+01,1.467130000000000000e+05
5.856505240292155889e+01,1.253383717038522605e+01,1.088810000000000000e+05
5.856505240292156600e+01,1.255968036203752902e+01,1.000380000000000000e+05
5.856505240292157310e+01,1.263707396085971624e+01,7.993100000000000000e+04
5.856505240292158021e+01,1.285998101293049700e+01,2.129100000000000000e+04
5.856505240292158732e+01,1.279140171486224276e+01,1.899900000000000000e+04
5.856505240292159442e+01,1.264157896585818008e+01,2.224400000000000000e+04
5.856505240292160153e+01,1.269705962163858537e+01,5.571000000000000000e+03
5.856505240292160863e+01,1.257284404803805700e+01,3.105100000000000000e+04
6.859730725913891547e+01,2.407933157718430550e+01,4.700000000000000000e+01
6.859730725913892968e+01,1.949000961763471196e+01,3.070000000000000000e+02
6.859730725913894389e+01,1.837874923107288438e+01,5.310000000000000000e+02
6.859730725913895810e+01,1.988453994095619848e+01,1.535000000000000000e+03
6.859730725913897231e+01,2.028536093222670900e+01,2.475000000000000000e+03
6.859730725913898652e+01,2.101608833834642809e+01,1.025100000000000000e+04
6.859730725913900073e+01,2.056973003005681022e+01,1.829660000000000000e+05
6.859730725913901495e+01,2.060013558498355479e+01,1.839420000000000000e+05
6.859730725913902916e+01,2.044724588045062674e+01,9.567300000000000000e+04
6.859730725913904337e+01,2.062209516775121187e+01,8.719200000000000000e+04
6.859730725913905758e+01,2.060399359811337305e+01,1.639800000000000000e+04
6.859730725913907179e+01,2.070194257228360968e+01,5.722700000000000000e+04
6.859730725913908600e+01,2.061078657516457824e+01,4.370500000000000000e+04
8.034809788661570451e+01,4.098079389718149201e+01,3.000000000000000000e+00
8.034809788661571872e+01,2.889686210503182551e+01,1.800000000000000000e+01
8.034809788661573293e+01,3.035508632857069955e+01,1.860000000000000000e+02
8.034809788661574714e+01,2.962887352504178651e+01,6.410000000000000000e+02
8.034809788661576135e+01,3.111932305065221982e+01,1.805000000000000000e+03
8.034809788661577556e+01,3.145952524669452899e+01,7.162000000000000000e+03
8.034809788661578978e+01,3.178007771610572973e+01,6.283000000000000000e+03
8.034809788661580399e+01,3.109284453201074072e+01,2.521000000000000000e+04
8.034809788661581820e+01,3.107520888117731417e+01,1.385060000000000000e+05
8.034809788661583241e+01,3.111558115940885116e+01,9.674800000000000000e+04
8.034809788661584662e+01,3.123251270720366435e+01,6.373000000000000000e+04
8.034809788661586083e+01,3.107619651057083487e+01,3.993800000000000000e+04
8.034809788661587504e+01,3.103850041130171533e+01,8.315000000000000000e+03
8.034809788661588925e+01,3.117464518697912013e+01,6.986100000000000000e+04
8.034809788661590346e+01,3.133272303339446196e+01,3.578400000000000000e+04
9.411181126409449860e+01,2.710214192745743489e+01,3.000000000000000000e+00
9.411181126409451281e+01,5.745576082190964229e+01,1.700000000000000000e+01
9.411181126409452702e+01,4.476371591261305838e+01,6.630000000000000000e+02
9.411181126409454123e+01,4.417638649227119174e+01,2.272000000000000000e+03
9.411181126409455544e+01,4.454722529689330912e+01,8.484000000000000000e+03
9.411181126409456965e+01,4.469869716385493774e+01,1.387100000000000000e+04
9.411181126409458386e+01,4.461949992060854697e+01,2.254000000000000000e+04
9.411181126409459807e+01,4.444073466318159404e+01,5.505500000000000000e+04
9.411181126409461228e+01,4.429283399740936744e+01,3.883900000000000000e+04
9.411181126409462649e+01,4.482152085843829781e+01,8.732000000000000000e+03
9.411181126409464071e+01,4.449717816895599753e+01,3.788500000000000000e+04
9.411181126409465492e+01,4.445368371929712481e+01,3.780000000000000000e+04
9.411181126409466913e+01,4.434051523935655581e+01,1.205000000000000000e+04
9.411181126409468334e+01,4.387910336451361815e+01,6.275000000000000000e+03
9.411181126409469755e+01,4.443510906060426180e+01,6.478100000000000000e+04
9.411181126409471176e+01,4.459437990916610772e+01,1.288500000000000000e+04
1.102332631683112254e+02,6.023326316831119698e+01,1.000000000000000000e+00
1.102332631683112396e+02,1.271406603881712272e+02,1.000000000000000000e+00
1.102332631683112538e+02,1.271406603881712272e+02,1.000000000000000000e+00
1.102332631683112680e+02,6.002964848957864774e+01,4.500000000000000000e+01
1.102332631683112822e+02,5.976302197521905413e+01,1.900000000000000000e+02
1.102332631683112965e+02,6.091583206556972385e+01,6.830000000000000000e+02
1.102332631683113107e+02,5.960055842990855979e+01,1.675000000000000000e+03
1.102332631683113249e+02,5.937039993297773322e+01,3.746000000000000000e+03
1.102332631683113391e+02,6.025804792834938439e+01,9.818000000000000000e+03
1.102332631683113533e+02,6.023927328095258815e+01,6.190000000000000000e+03
1.102332631683113675e+02,6.003269308667330506e+01,2.338300000000000000e+04
1.102332631683113817e+02,6.013110347271793898e+01,1.656500000000000000e+04
1.102332631683113959e+02,6.028282032696020565e+01,1.700000000000000000e+04
1.102332631683114101e+02,6.031406134611233227e+01,2.388400000000000000e+04
1.102332631683114244e+02,6.014612921984633687e+01,6.657000000000000000e+03
1.102332631683114386e+02,6.022365807736767351e+01,2.546900000000000000e+04
1.102332631683114528e+02,6.100680231749520743e+01,1.217500000000000000e+04
1.102332631683114670e+02,6.084161802565009936e+01,1.082600000000000000e+04
1.102332631683114812e+02,6.060707647411846466e+01,2.456400000000000000e+04
1.102332631683114954e+02,6.010984586373677274e+01,7.831000000000000000e+03
1.291163366799439132e+02,1.012341004746836859e+02,1.000000000000000000e+00
1.291163366799439416e+02,7.744118867185063948e+01,6.000000000000000000e+01
1.291163366799439700e+02,7.888598830861735678e+01,1.790000000000000000e+02
1.291163366799439984e+02,7.990254103251061224e+01,3.930000000000000000e+02
1.291163366799440269e+02,7.958919081125945638e+01,6.420000000000000000e+02
1.291163366799440553e+02,7.947442176304326722e+01,4.435000000000000000e+03
1.291163366799440837e+02,7.948874827010425292e+01,1.488600000000000000e+04
1.291163366799441121e+02,7.920950026164636881e+01,1.970500000000000000e+04
1.291163366799441405e+02,7.913906130787914606e+01,1.962100000000000000e+04
1.291163366799441690e+02,7.914821128492067714e+01,2.331200000000000000e+04
1.291163366799441974e+02,7.879007655935922116e+01,1.116600000000000000e+04
1.291163366799442258e+02,8.028849752343595014e+01,7.047000000000000000e+03
1.512341004746837143e+02,9.627204934253970237e+01,1.300000000000000000e+01
1.512341004746837427e+02,1.052604435128608742e+02,3.600000000000000000e+01
1.512341004746837712e+02,1.008489945322288577e+02,8.200000000000000000e+01
1.512341004746837996e+02,1.015140929698270043e+02,9.100000000000000000e+01
1.512341004746838280e+02,8.073368182149746985e+01,2.000000000000000000e+00
1.512341004746838564e+02,9.666143120333040883e+01,1.400000000000000000e+01
1.512341004746838848e+02,9.960140475126644333e+01,1.043000000000000000e+03
1.512341004746839133e+02,1.008200288018454245e+02,4.587000000000000000e+03
1.512341004746839417e+02,1.001615124248122726e+02,7.812000000000000000e+03
1.512341004746839701e+02,1.012987293870342000e+02,9.990000000000000000e+03
1.512341004746839985e+02,1.019255489922383617e+02,1.242500000000000000e+04
1.512341004746840269e+02,1.015409272604076278e+02,8.601000000000000000e+03
1.512341004746840554e+02,1.028179602167001576e+02,3.909000000000000000e+03
1.771406603881712840e+02,1.102231923582050683e+02,5.000000000000000000e+00
1.771406603881713124e+02,8.143520546752230871e+01,5.000000000000000000e+00
1.771406603881713409e+02,1.407516743485626023e+02,1.900000000000000000e+01
1.771406603881713977e+02,1.485319096054540182e+02,5.000000000000000000e+00
1.771406603881714261e+02,1.355557826768375946e+02,1.900000000000000000e+01
1.771406603881714545e+02,1.223758470819459632e+02,6.100000000000000000e+01
1.771406603881714830e+02,1.287226287966491611e+02,3.630000000000000000e+02
1.771406603881715114e+02,1.285939615647869516e+02,8.950000000000000000e+02
1.771406603881715398e+02,1.277432917681498310e+02,2.948000000000000000e+03
1.771406603881715682e+02,1.264371456547146693e+02,4.181000000000000000e+03
1.771406603881715967e+02,1.276725377734778419e+02,5.726000000000000000e+03
1.771406603881716251e+02,1.256288409503606402e+02,5.216000000000000000e+03
1.771406603881716535e+02,1.236816527392455924e+02,1.497000000000000000e+03
2.074850411664278624e+02,1.574850411664277772e+02,1.000000000000000000e+00
2.074850411664278909e+02,3.405358606875555552e+02,1.000000000000000000e+00
2.074850411664279761e+02,1.574850411664278340e+02,1.000000000000000000e+00
2.074850411664280045e+02,1.816642378325481388e+02,8.000000000000000000e+00
2.074850411664280330e+02,1.658887912407153635e+02,4.400000000000000000e+01
2.074850411664280898e+02,1.637436758305081241e+02,2.040000000000000000e+02
2.074850411664281467e+02,1.582027057674811488e+02,1.865000000000000000e+03
2.074850411664281751e+02,1.579768610969698557e+02,1.770000000000000000e+03
2.074850411664282035e+02,1.564713115674511812e+02,2.087000000000000000e+03
2.074850411664282319e+02,1.579366302829595270e+02,1.594000000000000000e+03
2.074850411664282603e+02,1.568943363008216920e+02,4.870000000000000000e+02
2.430274461746841155e+02,2.102130414184415770e+02,8.000000000000000000e+00
2.430274461746841723e+02,2.099388820189737146e+02,3.600000000000000000e+01
2.430274461746842292e+02,1.874081171403749977e+02,8.120000000000000000e+02
2.430274461746842576e+02,1.989268850106228967e+02,7.190000000000000000e+02
2.430274461746842860e+02,1.910898581139214514e+02,5.120000000000000000e+02
2.430274461746843144e+02,1.945486325856366250e+02,5.080000000000000000e+02
2.430274461746843429e+02,1.918981846622980356e+02,1.330000000000000000e+02
2.846583024113717784e+02,1.423128507772997295e+02,2.000000000000000000e+00
2.846583024113718352e+02,2.287936635233626532e+02,4.820000000000000000e+02
2.846583024113718920e+02,2.281988968341094051e+02,1.830000000000000000e+02
2.846583024113719489e+02,2.462943031791218687e+02,1.390000000000000000e+02
3.334205679529738973e+02,1.930274461746841723e+02,1.000000000000000000e+00
3.334205679529739541e+02,2.871207085378688930e+02,1.120000000000000000e+02
3.334205679529740110e+02,2.822334870218535912e+02,5.700000000000000000e+01
3.334205679529740678e+02,2.843838914440697181e+02,4.000000000000000000e+01
3.905358606875560668e+02,3.405358606875558394e+02,1.000000000000000000e+00
3.905358606875561236e+02,3.298308169314572069e+02,2.100000000000000000e+01
3.905358606875561804e+02,3.463062921788313133e+02,1.500000000000000000e+01
3.905358606875562373e+02,3.820660756803846994e+02,1.200000000000000000e+01
4.574350629277363396e+02,4.131650146567438924e+02,2.000000000000000000e+00
4.574350629277363964e+02,3.405358606875560668e+02,1.000000000000000000e+00
4.574350629277364533e+02,4.857941686259322296e+02,1.000000000000000000e+00
4.574350629277365101e+02,6.186518857138183876e+02,3.000000000000000000e+00
5.357941686259325706e+02,4.842506561053675114e+02,2.000000000000000000e+00
