spot_at_day10,expected_payoff,n_paths
3.400986924945691658e+00,4.709640238896463416e+01,1.000000000000000000e+00
3.983579549621913518e+00,4.559885511942191982e+01,3.000000000000000000e+00
4.665970901496285350e+00,4.527660950609383406e+01,1.100000000000000000e+01
5.465256607132746858e+00,4.453246960225458650e+01,7.900000000000000000e+01
6.401460791842858100e+00,4.353390682344443974e+01,3.350000000000000000e+02
7.498037734590501380e+00,4.246794101545010136e+01,1.452000000000000000e+03
8.782459456907528050e+00,4.128674864905072184e+01,4.525000000000000000e+03
1.028690396640647720e+01,3.971017735344001665e+01,1.300300000000000000e+04
1.204906139712835156e+01,3.792586716506767885e+01,3.331600000000000000e+04
1.411307824257683663e+01,3.589756398008048421e+01,7.404500000000000000e+04
1.653066333686090772e+01,3.346895515739663551e+01,1.474050000000000000e+05
1.936238329156628168e+01,3.061854385305670689e+01,2.627850000000000000e+05
2.267917984232066431e+01,2.736440090040701278e+01,4.212010000000000000e+05
2.656414711841586396e+01,2.358574587441702164e+01,6.075020000000000000e+05
3.111461336057888616e+01,1.940690857170803696e+01,7.948530000000000000e+05
3.644457923917894959e+01,1.499935508982713017e+01,9.374400000000000000e+05
4.268757385889888667e+01,1.070949994927596727e+01,1.002417000000000000e+06
5.000000000000000000e+01,6.930252304002747721e+00,9.728250000000000000e+05
5.856505240292160153e+01,1.257443277876696186e+01,8.546510000000000000e+05
6.859730725913908600e+01,2.058417155520096031e+01,6.822490000000000000e+05
8.034809788661590346e+01,3.114898936539063357e+01,4.941900000000000000e+05
9.411181126409469755e+01,4.445745274809309677e+01,3.221520000000000000e+05
1.102332631683114812e+02,6.031860536942168949e+01,1.907040000000000000e+05
1.291163366799441974e+02,7.926682589611984042e+01,1.014470000000000000e+05
1.512341004746840554e+02,1.013586809384106999e+02,4.860500000000000000e+04
1.771406603881716535e+02,1.266924059073466537e+02,2.094000000000000000e+04
2.074850411664282319e+02,1.578011516520085991e+02,8.062000000000000000e+03
2.430274461746843144e+02,1.930478360676575278e+02,2.728000000000000000e+03
2.846583024113720057e+02,2.314621312436170797e+02,8.060000000000000000e+02
3.334205679529741246e+02,2.848248153353545149e+02,2.100000000000000000e+02
3.905358606875562941e+02,3.478851083080662079e+02,4.900000000000000000e+01
4.574350629277365101e+02,5.012308165383473124e+02,7.000000000000000000e+00
5.357941686259326843e+02,4.842506561053675114e+02,2.000000000000000000e+00
