spot_at_expiry,expected_payoff,n_paths
2.478950749551894539e+00,0.000000000000000000e+00,2.000000000000000000e+00
2.478950749551894983e+00,0.000000000000000000e+00,2.000000000000000000e+00
2.903597611035369397e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.903597611035370285e+00,0.000000000000000000e+00,2.000000000000000000e+00
2.903597611035370729e+00,0.000000000000000000e+00,4.000000000000000000e+00
2.903597611035371173e+00,0.000000000000000000e+00,7.000000000000000000e+00
3.400986924945688106e+00,0.000000000000000000e+00,2.000000000000000000e+00
3.400986924945688550e+00,0.000000000000000000e+00,3.000000000000000000e+00
3.400986924945688994e+00,0.000000000000000000e+00,3.000000000000000000e+00
3.400986924945689438e+00,0.000000000000000000e+00,8.000000000000000000e+00
3.400986924945689882e+00,0.000000000000000000e+00,3.000000000000000000e+01
3.400986924945690326e+00,0.000000000000000000e+00,3.400000000000000000e+01
3.983579549621909077e+00,0.000000000000000000e+00,1.000000000000000000e+00
3.983579549621910409e+00,0.000000000000000000e+00,1.800000000000000000e+01
3.983579549621910854e+00,0.000000000000000000e+00,3.000000000000000000e+00
3.983579549621911298e+00,0.000000000000000000e+00,9.700000000000000000e+01
3.983579549621911742e+00,0.000000000000000000e+00,1.510000000000000000e+02
4.665970901496279133e+00,0.000000000000000000e+00,1.000000000000000000e+00
4.665970901496280021e+00,0.000000000000000000e+00,2.000000000000000000e+00
4.665970901496280909e+00,0.000000000000000000e+00,4.100000000000000000e+01
4.665970901496281797e+00,0.000000000000000000e+00,1.210000000000000000e+02
4.665970901496282686e+00,0.000000000000000000e+00,2.480000000000000000e+02
4.665970901496283574e+00,0.000000000000000000e+00,2.880000000000000000e+02
5.465256607132740641e+00,0.000000000000000000e+00,2.000000000000000000e+00
5.465256607132741529e+00,0.000000000000000000e+00,1.600000000000000000e+02
5.465256607132742417e+00,0.000000000000000000e+00,2.210000000000000000e+02
5.465256607132743305e+00,0.000000000000000000e+00,3.950000000000000000e+02
5.465256607132744193e+00,0.000000000000000000e+00,7.480000000000000000e+02
5.465256607132745081e+00,0.000000000000000000e+00,2.900000000000000000e+02
5.465256607132745970e+00,0.000000000000000000e+00,6.000000000000000000e+01
6.401460791842845666e+00,0.000000000000000000e+00,1.000000000000000000e+00
6.401460791842847442e+00,0.000000000000000000e+00,1.000000000000000000e+00
6.401460791842848330e+00,0.000000000000000000e+00,2.000000000000000000e+00
6.401460791842850107e+00,0.000000000000000000e+00,1.700000000000000000e+01
6.401460791842850995e+00,0.000000000000000000e+00,6.200000000000000000e+01
6.401460791842851883e+00,0.000000000000000000e+00,5.900000000000000000e+01
6.401460791842852771e+00,0.000000000000000000e+00,1.780000000000000000e+02
6.401460791842853659e+00,0.000000000000000000e+00,3.690000000000000000e+02
6.401460791842854547e+00,0.000000000000000000e+00,5.760000000000000000e+02
6.401460791842855436e+00,0.000000000000000000e+00,1.861000000000000000e+03
6.401460791842856324e+00,0.000000000000000000e+00,9.870000000000000000e+02
6.401460791842857212e+00,0.000000000000000000e+00,1.620000000000000000e+02
7.498037734590486281e+00,0.000000000000000000e+00,1.000000000000000000e+00
7.498037734590487169e+00,0.000000000000000000e+00,1.000000000000000000e+00
7.498037734590488945e+00,0.000000000000000000e+00,3.000000000000000000e+00
7.498037734590489833e+00,0.000000000000000000e+00,1.000000000000000000e+00
7.498037734590490722e+00,0.000000000000000000e+00,7.000000000000000000e+00
7.498037734590491610e+00,0.000000000000000000e+00,1.000000000000000000e+01
7.498037734590492498e+00,0.000000000000000000e+00,6.000000000000000000e+00
7.498037734590493386e+00,0.000000000000000000e+00,1.500000000000000000e+01
7.498037734590494274e+00,0.000000000000000000e+00,2.100000000000000000e+01
7.498037734590495162e+00,0.000000000000000000e+00,4.000000000000000000e+01
7.498037734590496051e+00,0.000000000000000000e+00,1.850000000000000000e+02
7.498037734590496939e+00,0.000000000000000000e+00,1.530000000000000000e+02
7.498037734590497827e+00,0.000000000000000000e+00,5.981000000000000000e+03
7.498037734590498715e+00,0.000000000000000000e+00,3.370000000000000000e+03
7.498037734590499603e+00,0.000000000000000000e+00,1.050000000000000000e+02
7.498037734590500492e+00,0.000000000000000000e+00,2.310000000000000000e+02
8.782459456907508510e+00,0.000000000000000000e+00,1.000000000000000000e+00
8.782459456907510287e+00,0.000000000000000000e+00,2.000000000000000000e+00
8.782459456907512063e+00,0.000000000000000000e+00,6.000000000000000000e+00
8.782459456907513839e+00,0.000000000000000000e+00,8.000000000000000000e+00
8.782459456907515616e+00,0.000000000000000000e+00,1.400000000000000000e+01
8.782459456907517392e+00,0.000000000000000000e+00,1.100000000000000000e+01
8.782459456907519169e+00,0.000000000000000000e+00,2.700000000000000000e+01
8.782459456907520945e+00,0.000000000000000000e+00,7.600000000000000000e+01
8.782459456907522721e+00,0.000000000000000000e+00,1.346700000000000000e+04
8.782459456907524498e+00,0.000000000000000000e+00,5.772000000000000000e+03
8.782459456907526274e+00,0.000000000000000000e+00,5.900000000000000000e+02
