spot_at_expiry,expected_payoff,n_paths
2.478950749551896315e+00,0.000000000000000000e+00,4.000000000000000000e+00
2.903597611035372505e+00,0.000000000000000000e+00,1.400000000000000000e+01
3.400986924945691658e+00,0.000000000000000000e+00,8.000000000000000000e+01
3.983579549621913518e+00,0.000000000000000000e+00,2.700000000000000000e+02
4.665970901496285350e+00,0.000000000000000000e+00,7.010000000000000000e+02
5.465256607132746858e+00,0.000000000000000000e+00,1.876000000000000000e+03
6.401460791842858100e+00,0.000000000000000000e+00,4.275000000000000000e+03
7.498037734590501380e+00,0.000000000000000000e+00,1.013000000000000000e+04
8.782459456907528050e+00,0.000000000000000000e+00,1.997400000000000000e+04
1.028690396640647720e+01,0.000000000000000000e+00,3.818400000000000000e+04
1.204906139712835156e+01,0.000000000000000000e+00,6.715700000000000000e+04
1.411307824257683663e+01,0.000000000000000000e+00,1.106430000000000000e+05
1.653066333686090772e+01,0.000000000000000000e+00,1.678610000000000000e+05
1.936238329156628168e+01,0.000000000000000000e+00,2.393460000000000000e+05
2.267917984232066431e+01,0.000000000000000000e+00,3.183930000000000000e+05
2.656414711841586396e+01,0.000000000000000000e+00,3.972780000000000000e+05
3.111461336057888616e+01,0.000000000000000000e+00,4.629370000000000000e+05
3.644457923917894959e+01,1.296201994787999467e+00,5.018200000000000000e+05
4.268757385889888667e+01,8.957624676081952231e-01,5.127590000000000000e+05
5.000000000000000000e+01,0.000000000000000000e+00,4.910590000000000000e+05
5.856505240292160153e+01,0.000000000000000000e+00,4.363940000000000000e+05
6.859730725913908600e+01,0.000000000000000000e+00,3.657740000000000000e+05
8.034809788661590346e+01,0.000000000000000000e+00,2.878220000000000000e+05
9.411181126409469755e+01,0.000000000000000000e+00,2.115540000000000000e+05
1.102332631683114812e+02,0.000000000000000000e+00,1.441950000000000000e+05
1.291163366799441974e+02,0.000000000000000000e+00,9.339600000000000000e+04
1.512341004746840554e+02,0.000000000000000000e+00,5.524400000000000000e+04
1.771406603881716535e+02,0.000000000000000000e+00,3.095400000000000000e+04
2.074850411664282319e+02,0.000000000000000000e+00,1.618900000000000000e+04
2.430274461746843144e+02,0.000000000000000000e+00,7.695000000000000000e+03
2.846583024113720057e+02,0.000000000000000000e+00,3.647000000000000000e+03
3.334205679529741246e+02,0.000000000000000000e+00,1.458000000000000000e+03
3.905358606875562941e+02,0.000000000000000000e+00,5.980000000000000000e+02
4.574350629277365101e+02,0.000000000000000000e+00,2.310000000000000000e+02
5.357941686259326843e+02,0.000000000000000000e+00,6.000000000000000000e+01
6.275762712551512550e+02,0.000000000000000000e+00,1.700000000000000000e+01
7.350807442577615802e+02,0.000000000000000000e+00,1.000000000000000000e+01
8.610008461566884534e+02,0.000000000000000000e+00,1.000000000000000000e+00
